ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10278883,HY467407,10/18/2015 11:00:00 PM,054XX W KAMERLING AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,false,true,2532,025,37,25,26,1139747,1908451,2015,10/25/2015 03:55:25 PM,41.904894023,-87.762110178,"(41.904894023, -87.762110178)"
10279983,HY468082,10/18/2015 11:00:00 PM,023XX N LATROBE AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,2515,025,37,19,06,1140994,1915289,2015,10/25/2015 03:55:25 PM,41.923635374,-87.757360823,"(41.923635374, -87.757360823)"
10280098,HY468024,10/18/2015 11:00:00 PM,079XX S EXCHANGE AVE,0810,THEFT,OVER $500,STREET,false,false,0422,004,7,46,06,1197208,1852988,2015,10/25/2015 03:55:25 PM,41.751457646,-87.552892516,"(41.751457646, -87.552892516)"
10280302,HY468687,10/18/2015 11:00:00 PM,087XX S ESCANABA AVE,0460,BATTERY,SIMPLE,APARTMENT,false,false,0423,004,10,46,08B,1196903,1847650,2015,10/25/2015 03:55:25 PM,41.736817351,-87.554187285,"(41.736817351, -87.554187285)"
10282701,HY470666,10/18/2015 11:00:00 PM,108XX S TORRENCE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0434,004,10,51,08B,,,2015,10/25/2015 03:55:25 PM,,,
10280164,HY468360,10/18/2015 11:00:00 PM,026XX N MAJOR AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,false,false,2514,025,30,19,26,1137934,1916877,2015,10/25/2015 03:55:25 PM,41.928048871,-87.768566154,"(41.928048871, -87.768566154)"
10279325,HY467682,10/18/2015 11:00:00 PM,014XX W ARDMORE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,2013,020,48,77,14,1165594,1938957,2015,10/25/2015 03:55:25 PM,41.988092403,-87.666294106,"(41.988092403, -87.666294106)"
10280180,HY467959,10/18/2015 11:00:00 PM,012XX N CENTRAL AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,2531,025,29,25,07,,,2015,10/25/2015 03:55:25 PM,,,
10279126,HY467577,10/18/2015 11:00:00 PM,052XX W ROSCOE ST,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENTIAL YARD (FRONT/BACK),false,false,1634,016,38,15,14,1140734,1922101,2015,10/25/2015 03:55:25 PM,41.942332984,-87.758148251,"(41.942332984, -87.758148251)"
10280298,HY468646,10/18/2015 11:00:00 PM,006XX W 87TH ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,2223,022,21,71,05,1173402,1847110,2015,10/25/2015 03:55:25 PM,41.735887102,-87.640302827,"(41.735887102, -87.640302827)"
10279583,HY467484,10/18/2015 10:52:00 PM,015XX W MADISON ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,false,false,1224,012,2,28,14,1166164,1900105,2015,10/25/2015 03:55:25 PM,41.881468278,-87.665311087,"(41.881468278, -87.665311087)"
10278846,HY467369,10/18/2015 10:48:00 PM,060XX N WINTHROP AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE PORCH/HALLWAY,true,false,2433,024,48,77,26,1167768,1940214,2015,10/25/2015 03:55:25 PM,41.991494898,-87.658261552,"(41.991494898, -87.658261552)"
10278851,HY467367,10/18/2015 10:47:00 PM,040XX W POTOMAC AVE,2027,NARCOTICS,POSS: CRACK,STREET,true,false,2534,025,27,23,18,1149144,1908355,2015,10/25/2015 03:55:25 PM,41.904453691,-87.727594301,"(41.904453691, -87.727594301)"
